createdAt;orderId;fulfillmentId;type;channel;location;sku;treatmentQuantity;acquisitionType;stockType;reason;treatmentType;totalOrPartial;registeredAt;situation
2025-12-29T10:12:32.000Z;1586982155670;01;SHIPMENT;lancaperfume;LP RECIFE RIO MAR;526CP000008-A3173U;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-01-02T12:25:31.000Z;processed
2025-12-31T05:12:09.000Z;1587412156739;03;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502VE012122-A0001M;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-01-02T17:19:18.000Z;processed
2025-12-31T03:00:33.000Z;1587392156711;01;PICKUP;lancaperfume;LP SAO PAULO-ANALIAFRANCO;537CH000640-A328234;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-01-02T17:21:59.000Z;processed
2025-12-30T16:10:51.000Z;1587282156465;02;SHIPMENT;lancaperfume;LP BRASILIA PARKSHOPPING;502CF003142-A3395M;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-01-02T20:07:00.000Z;processed
2026-01-01T17:01:00.000Z;1600172157226;01;SHIPMENT;lancaperfume;LP SAO PAULO-ANALIAFRANCO;502VE012314-A0001GG;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-01-02T21:39:33.000Z;processed
2025-12-31T18:31:18.000Z;1587552156988;02;SHIPMENT;lancaperfume;LP SAO PAULO-ANALIAFRANCO;502VE011747-A3595G;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-01-02T21:43:12.000Z;processed
2025-12-31T18:31:18.000Z;1587552156988;02;SHIPMENT;lancaperfume;LP SAO PAULO-ANALIAFRANCO;502VE011881-A3672G;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-01-02T21:43:12.000Z;processed
2025-12-31T18:31:18.000Z;1587552156988;02;SHIPMENT;lancaperfume;LP SAO PAULO-ANALIAFRANCO;502VE011887-A3286GG;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-01-02T21:43:12.000Z;processed
2025-12-31T19:18:28.000Z;1587552157009;01;SHIPMENT;lancaperfume;LP BELEM BOULEVARD;502VE012136-A3791PP;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-01-02T22:16:56.000Z;processed
2025-12-29T16:55:58.000Z;1587052155825;01;SHIPMENT;lancaperfume;LP PORTO ALEGRE IGUATEMI;502MA001894-A3666GG;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-01-03T16:03:54.000Z;processed
